100
14
Jan
bought,usable,demand,consume,shortage,waste,budget
29406,105258,0,0,0,95969,29406,0,0,0,0,0,0,0
29406,105258,97283,85478,79810,175258,204664,125375,125375,123840,115193,29406,0,0
31786,7975,11805,5668,521,0,84,68,1535,8647,4357,2380,31786,0
29406,7975,11805,5668,521,0,84,68,1535,8647,4357,2380,29406,0
2380,0,0,0,0,0,0,0,0,0,0,0,2380,0
0,0,0,0,0,0,0,0,79137,0,0,0,79050,0
27096975333.6,25960628912.04,25960628912.04,25960628912.04,25960628912.04,25019972443.81,24730644163.27,24730644163.27,24730644163.27,24730644163.27,24730644163.27,24730644163.27,24730644163.27,24730644163.27
134664,82881,0,0,0,95969,29406,0,0,0,0,0,0,0
134664,179190,116358,105096,56532,151806,181212,125375,125375,122418,110114,29406,0,0
38355,62832,11262,48564,695,0,0,15238,2957,12304,7476,4324,38355,0
38355,62832,11262,48564,695,0,0,15238,2957,12304,7476,4324,29406,0
0,0,0,0,0,0,0,0,0,0,0,0,8949,0
0,0,0,0,0,0,0,0,40599,0,0,0,68908,0
25992550663.68,25158365002.02,25158365002.02,25158365002.02,25158365002.02,24215281477.78,23924542885.48,23924542885.48,23924542885.48,23924542885.48,23924542885.48,23924542885.48,23924542885.48,23924542885.48
134664,0,0,0,60784,0,65420,0,0,0,0,0,0,0
134664,121879,100576,85181,142778,142593,126204,126204,117848,117332,65420,65420,0,0
12785,21303,15395,3187,185,2722,163,8356,516,12259,4693,622,12785,0
12785,21303,15395,3187,185,2722,163,8356,516,12259,4693,622,12785,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,78924,0,0,0,34960,0,0
26005279104.96,26005279104.96,26005279104.96,26005279104.96,25408198480.8,25408198480.8,24761527014.4,24761527014.4,24761527014.4,24761527014.4,24761527014.4,24761527014.4,24761527014.4,24761527014.4
134664,0,0,0,60784,0,65420,0,0,0,0,0,0,0
134664,132614,86682,82034,131321,130436,126204,126204,126176,125700,65420,65420,0,0
2050,45932,4648,11497,885,560,0,28,476,2733,21314,3965,2050,0
2050,45932,4648,11497,885,560,0,28,476,2733,21314,3965,2050,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,69092,0,0,0,36233,0,0
25987908795.6,25987908795.6,25987908795.6,25987908795.6,25397065825.52,25397065825.52,24754965254.52,24754965254.52,24754965254.52,24754965254.52,24754965254.52,24754965254.52,24754965254.52,24754965254.52
29406,153279,0,0,0,0,125375,0,0,0,0,0,0,0
29406,179190,103629,98381,93962,92349,217628,125375,125375,118425,111189,99899,0,0
3495,75561,5248,4419,1613,96,2050,6166,6950,7236,11290,11329,3495,0
3495,75561,5248,4419,1613,96,2050,6166,6950,7236,11290,11329,3495,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,84037,0,0,0,0,0
27081227244.36,25540005366.57,25540005366.57,25540005366.57,25540005366.57,25540005366.57,24303963331.57,24303963331.57,24303963331.57,24303963331.57,24303963331.57,24303963331.57,24303963331.57,24303963331.57
29406,154522,0,0,59955,0,65420,0,0,0,0,0,0,0
29406,179190,144100,129472,178680,76160,139267,125375,125375,124484,65420,65420,0,0
4738,35090,14628,10747,102520,2313,28,0,891,5332,8064,1697,4738,0
4738,35090,14628,10747,102520,2313,28,0,891,5332,8064,1697,4738,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13864,0,0,45668,0,0
27094789585.62,25554654904.64,25554654904.64,25554654904.64,24962992584.44,24962992584.44,24320839023.24,24320839023.24,24320839023.24,24320839023.24,24320839023.24,24320839023.24,24320839023.24,24320839023.24
227621,0,0,0,60784,36014,29406,0,0,0,0,0,0,0
227621,225325,207472,200080,255919,291832,126204,126204,126131,125117,65420,29406,0,0
2296,17853,7392,4945,101,1003,0,73,1014,1529,20709,7644,2296,0
2296,17853,7392,4945,101,1003,0,73,1014,1529,20709,7644,2296,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,194031,0,0,0,37459,28370,0
25274437513.43,25274437513.43,25274437513.43,25274437513.43,24677339261.91,24321982281.25,24031983543.91,24031983543.91,24031983543.91,24031983543.91,24031983543.91,24031983543.91,24031983543.91,24031983543.91
134664,67505,0,0,59955,36014,29406,0,0,0,0,0,0,0
134664,199044,173491,172113,227235,259177,192880,125375,125375,125313,65420,29406,0,0
3125,25553,1378,4833,4072,0,96,56,62,6732,2151,1244,3125,0
3125,25553,1378,4833,4072,0,96,56,62,6732,2151,1244,3125,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,95607,67449,0,0,51010,34770,0
26011518088.08,25350397744.83,25350397744.83,25350397744.83,24760554459.33,24406033003.47,24114856555.83,24114856555.83,24114856555.83,24114856555.83,24114856555.83,24114856555.83,24114856555.83,24114856555.83
175337,0,0,34839,25945,36014,0,29406,185,0,0,0,0,0
175337,172402,162814,192377,217874,253624,96798,126204,125375,91550,65605,29591,29591,29591
2935,9588,5276,448,264,4777,0,1014,404,1540,5763,4800,2935,0
2935,9588,5276,448,264,4777,0,1014,404,1540,5763,4800,2935,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,152049,0,0,31881,20182,31214,0
25620770559.45,25620770559.45,25620770559.45,25282443456.21,25026571012.26,24671067454.62,24671067454.62,24381470697.3,24379632731.55,24379632731.55,24379632731.55,24379632731.55,24379632731.55,24379632731.55
134664,0,0,0,0,96798,0,29406,0,0,0,0,0,0
134664,132239,122730,93078,84918,178367,96798,126204,126142,126074,120586,29406,29406,29406
2425,9509,29652,8160,3349,23,40,62,68,5488,1535,9733,2425,0
2425,9509,29652,8160,3349,23,40,62,68,5488,1535,9733,2425,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,81506,0,0,0,0,79912,0
25984450624.08,25984450624.08,25984450624.08,25984450624.08,25984450624.08,25028917878.9,25028917878.9,24740485011.06,24740485011.06,24740485011.06,24740485011.06,24740485011.06,24740485011.06,24740485011.06
134664,0,0,0,60784,0,0,65420,2363,0,29618,0,0,0
134664,132317,120456,113864,125748,122477,60784,126204,125375,125335,91365,83995,83832,83832
2347,11861,6592,48900,3271,0,2364,3192,40,63588,7370,163,2347,0
2347,11861,6592,48900,3271,0,2364,3192,40,63588,7370,163,2347,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,59329,0,0,0,0,0,0
25989105958.56,25989105958.56,25989105958.56,25989105958.56,25389521641.44,25389521641.44,25389521641.44,24745018193.84,24721490677.15,24721490677.15,24427421848.19,24427421848.19,24427421848.19,24427421848.19
29406,117018,0,0,0,95969,29406,0,0,0,0,4827,0,0
29406,145931,123704,59035,51077,146754,174653,125375,125375,125324,117870,34233,4827,4827
493,22227,64669,7958,292,1507,34,45,51,7454,57277,6127,493,0
493,22227,64669,7958,292,1507,34,45,51,7454,57277,6127,493,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,49199,0,0,0,25060,0
27103882803.0,25893812536.98,25893812536.98,25893812536.98,25893812536.98,24947052440.35,24655687206.19,24655687206.19,24655687206.19,24655687206.19,24655687206.19,24607761950.53,24607761950.53,24607761950.53
218419,0,0,0,60784,36014,0,29406,0,0,0,0,2419,0
218419,213009,204637,198443,254399,285781,96798,126204,126204,116689,65420,29406,29406,29406
