100
13
Jan
bought,usable,demand,consume,shortage,waste,budget
0,0,0,0,0,114019,0,0,0,0,0,270000,0
270000,238214,230239,218434,212766,114019,114019,113935,113867,112332,103685,270000,270000
31786,7975,11805,5668,521,0,84,68,1535,8647,4357,2380,270000
31786,7975,11805,5668,521,0,84,68,1535,8647,4357,2380,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,212245,0,0,0,0,0,0
27430274700.0,27430274700.0,27430274700.0,27430274700.0,27430274700.0,26312698088.27,26312698088.27,26312698088.27,26312698088.27,26312698088.27,26312698088.27,23693649488.27,23693649488.27
0,0,0,0,0,114019,0,0,0,0,0,270000,0
270000,231645,168813,157551,108987,114019,114019,114019,98781,95824,83520,270000,270000
38355,62832,11262,48564,695,0,0,15238,2957,12304,7476,4324,270000
38355,62832,11262,48564,695,0,0,15238,2957,12304,7476,4324,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,108292,0,0,0,0,0,0
27430274700.0,27430274700.0,27430274700.0,27430274700.0,27430274700.0,26309814547.76,26309814547.76,26309814547.76,26309814547.76,26309814547.76,26309814547.76,23642460247.76,23642460247.76
0,0,0,0,114019,0,0,0,0,0,0,274856,0
270000,257215,235912,220517,331349,114019,114019,113856,105500,104984,0,274856,274856
12785,21303,15395,3187,185,2722,163,8356,516,12259,4693,622,270000
12785,21303,15395,3187,185,2722,163,8356,516,12259,4693,622,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,214423,0,0,0,0,88032,0
27430274700.0,27430274700.0,27430274700.0,27430274700.0,26310267203.19,26310267203.19,26310267203.19,26310267203.19,26310267203.19,26310267203.19,26310267203.19,23525352000.07,23525352000.07
0,0,0,0,114019,0,0,0,0,0,0,274856,0
270000,267950,222018,217370,319892,114019,114019,114019,113991,113515,0,274856,274856
2050,45932,4648,11497,885,560,0,28,476,2733,21314,3965,270000
2050,45932,4648,11497,885,560,0,28,476,2733,21314,3965,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,204428,0,0,0,0,89468,0
27430274700.0,27430274700.0,27430274700.0,27430274700.0,26321967832.97,26321967832.97,26321967832.97,26321967832.97,26321967832.97,26321967832.97,26321967832.97,23511562484.41,23511562484.41
0,0,0,0,0,0,114019,0,0,0,0,194529,0
270000,266505,190944,185696,181277,0,114019,111969,105803,98853,91617,274856,274856
3495,75561,5248,4419,1613,96,2050,6166,6950,7236,11290,11329,270000
3495,75561,5248,4419,1613,96,2050,6166,6950,7236,11290,11329,0
0,0,0,0,0,0,0,0,0,0,0,0,6473
0,0,0,0,0,0,179568,0,0,0,0,0,0
27430274700.0,27430274700.0,27430274700.0,27430274700.0,27430274700.0,27430274700.0,26306188743.56,26306188743.56,26306188743.56,26306188743.56,26306188743.56,24320162425.67,24320162425.67
0,0,0,0,0,0,114019,0,0,0,0,175152,0
270000,265262,230172,215544,204797,0,114019,113991,113991,113100,107768,274856,274856
4738,35090,14628,10747,102520,2313,28,0,891,5332,8064,1697,270000
4738,35090,14628,10747,102520,2313,28,0,891,5332,8064,1697,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,99964,0,0,0,0,0,0
